Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 1999. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 09:08:25 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,POPH Personal ocupado total hombres,POPM Personal ocupado total mujeres,POPT Personal ocupado total,
14 Jalisco,120 Zapopan,313    Fabricación de insumos textiles                                                                                                                                                                         ,209,96,305,
14 Jalisco,120 Zapopan,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,418,364,782,
14 Jalisco,120 Zapopan,315    Fabricación de prendas de vestir                                                                                                                                                                        ,922,1830,2752,
14 Jalisco,120 Zapopan,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,840,662,1502,
14 Jalisco,120 Zapopan,321    Industria de la madera                                                                                                                                                                                  ,597,170,767,
14 Jalisco,120 Zapopan,322    Industria del papel                                                                                                                                                                                     ,499,233,732,
14 Jalisco,120 Zapopan,323    Impresión e industrias conexas                                                                                                                                                                          ,436,236,672,
14 Jalisco,120 Zapopan,324    Fabricación de productos derivados del petróleo y del carbón                                                                                                                                            ,643,155,798,
14 Jalisco,120 Zapopan,325    Industria química                                                                                                                                                                                       ,2220,1451,3671,
14 Jalisco,120 Zapopan,326    Industria del plástico y del hule                                                                                                                                                                       ,3265,1608,4873,
14 Jalisco,120 Zapopan,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,2858,360,3218,
14 Jalisco,120 Zapopan,331    Industrias metálicas básicas                                                                                                                                                                            ,371,71,442,
14 Jalisco,120 Zapopan,332    Fabricación de productos metálicos                                                                                                                                                                      ,3067,396,3463,
14 Jalisco,120 Zapopan,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,1049,753,1802,
14 Jalisco,120 Zapopan,334    Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios e                                                                                             ,2620,3850,6470,
14 Jalisco,120 Zapopan,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,258,302,560,
14 Jalisco,120 Zapopan,336    Fabricación de equipo de transporte                                                                                                                                                                     ,1166,1129,2295,
14 Jalisco,120 Zapopan,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,3566,914,4480,
14 Jalisco,120 Zapopan,339    Otras industrias manufactureras                                                                                                                                                                         ,866,730,1596,
15 México,120 Zumpango,311    Industria alimentaria                                                                                                                                                                                   ,170,227,397,
15 México,120 Zumpango,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,18,6,24,
15 México,120 Zumpango,313    Fabricación de insumos textiles                                                                                                                                                                         ,3,0,3,
15 México,120 Zumpango,315    Fabricación de prendas de vestir                                                                                                                                                                        ,107,110,217,
15 México,120 Zumpango,321    Industria de la madera                                                                                                                                                                                  ,21,1,22,
15 México,120 Zumpango,323    Impresión e industrias conexas                                                                                                                                                                          ,22,3,25,
15 México,120 Zumpango,325    Industria química                                                                                                                                                                                       ,276,13,289,
15 México,120 Zumpango,326    Industria del plástico y del hule                                                                                                                                                                       ,8,1,9,
15 México,120 Zumpango,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,77,60,137,
15 México,120 Zumpango,331    Industrias metálicas básicas                                                                                                                                                                            ,10,1,11,
15 México,120 Zumpango,332    Fabricación de productos metálicos                                                                                                                                                                      ,79,5,84,
15 México,120 Zumpango,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,10,4,14,
15 México,120 Zumpango,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,3,2,5,
15 México,120 Zumpango,336    Fabricación de equipo de transporte                                                                                                                                                                     ,15,1,16,
15 México,120 Zumpango,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,10,0,10,
15 México,120 Zumpango,339    Otras industrias manufactureras                                                                                                                                                                         ,2,6,8,
15 México,121 Cuautitlán Izcalli,311    Industria alimentaria                                                                                                                                                                                   ,3284,1846,5130,
15 México,121 Cuautitlán Izcalli,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,1932,189,2121,
15 México,121 Cuautitlán Izcalli,313    Fabricación de insumos textiles                                                                                                                                                                         ,1355,106,1461,
15 México,121 Cuautitlán Izcalli,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,956,864,1820,
15 México,121 Cuautitlán Izcalli,315    Fabricación de prendas de vestir                                                                                                                                                                        ,203,882,1085,
15 México,121 Cuautitlán Izcalli,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,640,831,1471,
15 México,121 Cuautitlán Izcalli,321    Industria de la madera                                                                                                                                                                                  ,89,3,92,
15 México,121 Cuautitlán Izcalli,322    Industria del papel                                                                                                                                                                                     ,1382,447,1829,
15 México,121 Cuautitlán Izcalli,323    Impresión e industrias conexas                                                                                                                                                                          ,383,179,562,
15 México,121 Cuautitlán Izcalli,324    Fabricación de productos derivados del petróleo y del carbón                                                                                                                                            ,34,8,42,
15 México,121 Cuautitlán Izcalli,325    Industria química                                                                                                                                                                                       ,1978,978,2956,
15 México,121 Cuautitlán Izcalli,326    Industria del plástico y del hule                                                                                                                                                                       ,3034,1560,4594,
15 México,121 Cuautitlán Izcalli,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,2585,97,2682,
15 México,121 Cuautitlán Izcalli,331    Industrias metálicas básicas                                                                                                                                                                            ,320,108,428,
15 México,121 Cuautitlán Izcalli,332    Fabricación de productos metálicos                                                                                                                                                                      ,1952,439,2391,
15 México,121 Cuautitlán Izcalli,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,969,102,1071,
15 México,121 Cuautitlán Izcalli,334    Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios e                                                                                             ,21,49,70,
15 México,121 Cuautitlán Izcalli,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,957,633,1590,
15 México,121 Cuautitlán Izcalli,336    Fabricación de equipo de transporte                                                                                                                                                                     ,4851,706,5557,
15 México,121 Cuautitlán Izcalli,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,394,88,482,
15 México,121 Cuautitlán Izcalli,339    Otras industrias manufactureras                                                                                                                                                                         ,1180,1846,3026,
30 Veracruz de Ignacio de la Llave,121 Ozuluama de Mascareñas,311    Industria alimentaria                                                                                                                                                                                   ,109,31,140,
30 Veracruz de Ignacio de la Llave,121 Ozuluama de Mascareñas,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,2,0,2,
30 Veracruz de Ignacio de la Llave,121 Ozuluama de Mascareñas,315    Fabricación de prendas de vestir                                                                                                                                                                        ,1,4,5,
30 Veracruz de Ignacio de la Llave,121 Ozuluama de Mascareñas,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,1,0,1,
30 Veracruz de Ignacio de la Llave,121 Ozuluama de Mascareñas,321    Industria de la madera                                                                                                                                                                                  ,3,0,3,
30 Veracruz de Ignacio de la Llave,121 Ozuluama de Mascareñas,322    Industria del papel                                                                                                                                                                                     ,0,1,1,
30 Veracruz de Ignacio de la Llave,121 Ozuluama de Mascareñas,323    Impresión e industrias conexas                                                                                                                                                                          ,2,0,2,
30 Veracruz de Ignacio de la Llave,121 Ozuluama de Mascareñas,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,2,0,2,
30 Veracruz de Ignacio de la Llave,121 Ozuluama de Mascareñas,332    Fabricación de productos metálicos                                                                                                                                                                      ,3,0,3,
30 Veracruz de Ignacio de la Llave,121 Ozuluama de Mascareñas,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,7,0,7,
20 Oaxaca,121 San Bartolo Soyaltepec,311    Industria alimentaria                                                                                                                                                                                   ,1,0,1,
21 Puebla,121 San Diego la Mesa Tochimiltzingo,313    Fabricación de insumos textiles                                                                                                                                                                         ,0,13,13,
14 Jalisco,121 Zapotiltic,311    Industria alimentaria                                                                                                                                                                                   ,52,71,123,
14 Jalisco,121 Zapotiltic,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,23,2,25,
14 Jalisco,121 Zapotiltic,315    Fabricación de prendas de vestir                                                                                                                                                                        ,0,2,2,
14 Jalisco,121 Zapotiltic,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,1,1,2,
14 Jalisco,121 Zapotiltic,323    Impresión e industrias conexas                                                                                                                                                                          ,3,1,4,
14 Jalisco,121 Zapotiltic,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,924,39,963,
14 Jalisco,121 Zapotiltic,332    Fabricación de productos metálicos                                                                                                                                                                      ,57,2,59,
14 Jalisco,121 Zapotiltic,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,6,0,6,
14 Jalisco,121 Zapotiltic,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,24,0,24,
30 Veracruz de Ignacio de la Llave,122 Pajapan,311    Industria alimentaria                                                                                                                                                                                   ,22,18,40,
30 Veracruz de Ignacio de la Llave,122 Pajapan,315    Fabricación de prendas de vestir                                                                                                                                                                        ,2,15,17,
30 Veracruz de Ignacio de la Llave,122 Pajapan,321    Industria de la madera                                                                                                                                                                                  ,1,0,1,
30 Veracruz de Ignacio de la Llave,122 Pajapan,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,22,0,22,
20 Oaxaca,122 San Bartolo Yautepec,311    Industria alimentaria                                                                                                                                                                                   ,0,3,3,
20 Oaxaca,122 San Bartolo Yautepec,315    Fabricación de prendas de vestir                                                                                                                                                                        ,0,1,1,
21 Puebla,122 San Felipe Teotlalcingo,311    Industria alimentaria                                                                                                                                                                                   ,10,13,23,
21 Puebla,122 San Felipe Teotlalcingo,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,5,0,5,
21 Puebla,122 San Felipe Teotlalcingo,332    Fabricación de productos metálicos                                                                                                                                                                      ,7,0,7,
21 Puebla,122 San Felipe Teotlalcingo,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,2,0,2,
15 México,122 Valle de Chalco Solidaridad,311    Industria alimentaria                                                                                                                                                                                   ,1038,596,1634,
15 México,122 Valle de Chalco Solidaridad,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,40,16,56,
15 México,122 Valle de Chalco Solidaridad,313    Fabricación de insumos textiles                                                                                                                                                                         ,9,2,11,
15 México,122 Valle de Chalco Solidaridad,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,0,3,3,
15 México,122 Valle de Chalco Solidaridad,315    Fabricación de prendas de vestir                                                                                                                                                                        ,92,189,281,
15 México,122 Valle de Chalco Solidaridad,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,6,4,10,
15 México,122 Valle de Chalco Solidaridad,321    Industria de la madera                                                                                                                                                                                  ,69,6,75,
15 México,122 Valle de Chalco Solidaridad,322    Industria del papel                                                                                                                                                                                     ,29,4,33,
15 México,122 Valle de Chalco Solidaridad,323    Impresión e industrias conexas                                                                                                                                                                          ,11,7,18,
15 México,122 Valle de Chalco Solidaridad,325    Industria química                                                                                                                                                                                       ,6,8,14,
15 México,122 Valle de Chalco Solidaridad,326    Industria del plástico y del hule                                                                                                                                                                       ,23,6,29,
15 México,122 Valle de Chalco Solidaridad,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,139,15,154,
15 México,122 Valle de Chalco Solidaridad,331    Industrias metálicas básicas                                                                                                                                                                            ,44,3,47,
15 México,122 Valle de Chalco Solidaridad,332    Fabricación de productos metálicos                                                                                                                                                                      ,316,19,335,
15 México,122 Valle de Chalco Solidaridad,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,19,7,26,
15 México,122 Valle de Chalco Solidaridad,336    Fabricación de equipo de transporte                                                                                                                                                                     ,17,2,19,
15 México,122 Valle de Chalco Solidaridad,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,178,29,207,
15 México,122 Valle de Chalco Solidaridad,339    Otras industrias manufactureras                                                                                                                                                                         ,48,27,75,
14 Jalisco,122 Zapotitlán de Vadillo,311    Industria alimentaria                                                                                                                                                                                   ,10,3,13,
14 Jalisco,122 Zapotitlán de Vadillo,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,1,0,1,
14 Jalisco,122 Zapotitlán de Vadillo,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,1,0,1,
14 Jalisco,122 Zapotitlán de Vadillo,332    Fabricación de productos metálicos                                                                                                                                                                      ,3,0,3,
14 Jalisco,122 Zapotitlán de Vadillo,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,5,0,5,
30 Veracruz de Ignacio de la Llave,123 Pánuco,311    Industria alimentaria                                                                                                                                                                                   ,557,147,704,
30 Veracruz de Ignacio de la Llave,123 Pánuco,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,37,6,43,
30 Veracruz de Ignacio de la Llave,123 Pánuco,315    Fabricación de prendas de vestir                                                                                                                                                                        ,5,1,6,
30 Veracruz de Ignacio de la Llave,123 Pánuco,321    Industria de la madera                                                                                                                                                                                  ,13,0,13,
30 Veracruz de Ignacio de la Llave,123 Pánuco,323    Impresión e industrias conexas                                                                                                                                                                          ,8,1,9,
30 Veracruz de Ignacio de la Llave,123 Pánuco,325    Industria química                                                                                                                                                                                       ,104,10,114,
30 Veracruz de Ignacio de la Llave,123 Pánuco,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,33,1,34,
30 Veracruz de Ignacio de la Llave,123 Pánuco,331    Industrias metálicas básicas                                                                                                                                                                            ,473,16,489,
30 Veracruz de Ignacio de la Llave,123 Pánuco,332    Fabricación de productos metálicos                                                                                                                                                                      ,267,5,272,
30 Veracruz de Ignacio de la Llave,123 Pánuco,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,1,0,1,
30 Veracruz de Ignacio de la Llave,123 Pánuco,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,23,0,23,
30 Veracruz de Ignacio de la Llave,123 Pánuco,339    Otras industrias manufactureras                                                                                                                                                                         ,2,1,3,
20 Oaxaca,123 San Bernardo Mixtepec,311    Industria alimentaria                                                                                                                                                                                   ,9,6,15,
20 Oaxaca,123 San Bernardo Mixtepec,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,3,0,3,
20 Oaxaca,123 San Bernardo Mixtepec,332    Fabricación de productos metálicos                                                                                                                                                                      ,2,0,2,
20 Oaxaca,123 San Bernardo Mixtepec,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,1,0,1,
21 Puebla,123 San Felipe Tepatlán,311    Industria alimentaria                                                                                                                                                                                   ,1,4,5,
14 Jalisco,123 Zapotlán del Rey,311    Industria alimentaria                                                                                                                                                                                   ,32,13,45,
14 Jalisco,123 Zapotlán del Rey,315    Fabricación de prendas de vestir                                                                                                                                                                        ,37,66,103,
14 Jalisco,123 Zapotlán del Rey,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,1,0,1,
14 Jalisco,123 Zapotlán del Rey,332    Fabricación de productos metálicos                                                                                                                                                                      ,3,0,3,
30 Veracruz de Ignacio de la Llave,124 Papantla,311    Industria alimentaria                                                                                                                                                                                   ,235,237,472,
30 Veracruz de Ignacio de la Llave,124 Papantla,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,289,45,334,
30 Veracruz de Ignacio de la Llave,124 Papantla,315    Fabricación de prendas de vestir                                                                                                                                                                        ,29,13,42,
30 Veracruz de Ignacio de la Llave,124 Papantla,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,19,0,19,
30 Veracruz de Ignacio de la Llave,124 Papantla,321    Industria de la madera                                                                                                                                                                                  ,14,0,14,
30 Veracruz de Ignacio de la Llave,124 Papantla,323    Impresión e industrias conexas                                                                                                                                                                          ,11,4,15,
30 Veracruz de Ignacio de la Llave,124 Papantla,325    Industria química                                                                                                                                                                                       ,1,1,2,
30 Veracruz de Ignacio de la Llave,124 Papantla,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,280,27,307,
30 Veracruz de Ignacio de la Llave,124 Papantla,332    Fabricación de productos metálicos                                                                                                                                                                      ,66,1,67,
30 Veracruz de Ignacio de la Llave,124 Papantla,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,173,3,176,
30 Veracruz de Ignacio de la Llave,124 Papantla,339    Otras industrias manufactureras                                                                                                                                                                         ,12,1,13,
20 Oaxaca,124 San Blas Atempa,311    Industria alimentaria                                                                                                                                                                                   ,38,738,776,
20 Oaxaca,124 San Blas Atempa,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,6,17,23,
20 Oaxaca,124 San Blas Atempa,315    Fabricación de prendas de vestir                                                                                                                                                                        ,27,55,82,
20 Oaxaca,124 San Blas Atempa,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,4,2,6,
20 Oaxaca,124 San Blas Atempa,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,1,0,1,
20 Oaxaca,124 San Blas Atempa,332    Fabricación de productos metálicos                                                                                                                                                                      ,8,0,8,
20 Oaxaca,124 San Blas Atempa,336    Fabricación de equipo de transporte                                                                                                                                                                     ,1,0,1,
20 Oaxaca,124 San Blas Atempa,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,17,0,17,
20 Oaxaca,124 San Blas Atempa,339    Otras industrias manufactureras                                                                                                                                                                         ,13,0,13,
21 Puebla,124 San Gabriel Chilac,311    Industria alimentaria                                                                                                                                                                                   ,22,66,88,
21 Puebla,124 San Gabriel Chilac,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,3,3,6,
21 Puebla,124 San Gabriel Chilac,315    Fabricación de prendas de vestir                                                                                                                                                                        ,313,289,602,
21 Puebla,124 San Gabriel Chilac,321    Industria de la madera                                                                                                                                                                                  ,3,2,5,
21 Puebla,124 San Gabriel Chilac,325    Industria química                                                                                                                                                                                       ,1,0,1,
21 Puebla,124 San Gabriel Chilac,332    Fabricación de productos metálicos                                                                                                                                                                      ,6,0,6,
21 Puebla,124 San Gabriel Chilac,334    Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios e                                                                                             ,5,0,5,
21 Puebla,124 San Gabriel Chilac,336    Fabricación de equipo de transporte                                                                                                                                                                     ,1,0,1,
14 Jalisco,124 Zapotlanejo,311    Industria alimentaria                                                                                                                                                                                   ,213,134,347,
14 Jalisco,124 Zapotlanejo,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,45,4,49,
14 Jalisco,124 Zapotlanejo,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,24,13,37,
14 Jalisco,124 Zapotlanejo,315    Fabricación de prendas de vestir                                                                                                                                                                        ,569,971,1540,
14 Jalisco,124 Zapotlanejo,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,36,23,59,
14 Jalisco,124 Zapotlanejo,321    Industria de la madera                                                                                                                                                                                  ,19,0,19,
14 Jalisco,124 Zapotlanejo,323    Impresión e industrias conexas                                                                                                                                                                          ,10,4,14,
14 Jalisco,124 Zapotlanejo,326    Industria del plástico y del hule                                                                                                                                                                       ,1,1,2,
14 Jalisco,124 Zapotlanejo,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,50,1,51,
14 Jalisco,124 Zapotlanejo,332    Fabricación de productos metálicos                                                                                                                                                                      ,33,0,33,
14 Jalisco,124 Zapotlanejo,336    Fabricación de equipo de transporte                                                                                                                                                                     ,140,4,144,
14 Jalisco,124 Zapotlanejo,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,12,0,12,
30 Veracruz de Ignacio de la Llave,125 Paso del Macho,311    Industria alimentaria                                                                                                                                                                                   ,27,28,55,
30 Veracruz de Ignacio de la Llave,125 Paso del Macho,315    Fabricación de prendas de vestir                                                                                                                                                                        ,1,0,1,
30 Veracruz de Ignacio de la Llave,125 Paso del Macho,321    Industria de la madera                                                                                                                                                                                  ,3,0,3,
30 Veracruz de Ignacio de la Llave,125 Paso del Macho,323    Impresión e industrias conexas                                                                                                                                                                          ,1,0,1,
30 Veracruz de Ignacio de la Llave,125 Paso del Macho,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,10,0,10,
30 Veracruz de Ignacio de la Llave,125 Paso del Macho,332    Fabricación de productos metálicos                                                                                                                                                                      ,14,0,14,
