Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 1999. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 09:08:25 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,POPH Personal ocupado total hombres,POPM Personal ocupado total mujeres,POPT Personal ocupado total,
25 Sinaloa,001 Ahome,321    Industria de la madera                                                                                                                                                                                  ,102,3,105,
25 Sinaloa,001 Ahome,322    Industria del papel                                                                                                                                                                                     ,202,47,249,
25 Sinaloa,001 Ahome,323    Impresión e industrias conexas                                                                                                                                                                          ,296,113,409,
25 Sinaloa,001 Ahome,324    Fabricación de productos derivados del petróleo y del carbón                                                                                                                                            ,110,12,122,
25 Sinaloa,001 Ahome,325    Industria química                                                                                                                                                                                       ,227,21,248,
25 Sinaloa,001 Ahome,326    Industria del plástico y del hule                                                                                                                                                                       ,34,4,38,
25 Sinaloa,001 Ahome,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,156,14,170,
25 Sinaloa,001 Ahome,331    Industrias metálicas básicas                                                                                                                                                                            ,4,1,5,
25 Sinaloa,001 Ahome,332    Fabricación de productos metálicos                                                                                                                                                                      ,484,35,519,
25 Sinaloa,001 Ahome,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,232,8,240,
25 Sinaloa,001 Ahome,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,23,4,27,
25 Sinaloa,001 Ahome,336    Fabricación de equipo de transporte                                                                                                                                                                     ,419,761,1180,
25 Sinaloa,001 Ahome,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,231,21,252,
25 Sinaloa,001 Ahome,339    Otras industrias manufactureras                                                                                                                                                                         ,93,14,107,
24 San Luis Potosí,001 Ahualulco,311    Industria alimentaria                                                                                                                                                                                   ,6,6,12,
24 San Luis Potosí,001 Ahualulco,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,38,2,40,
24 San Luis Potosí,001 Ahualulco,313    Fabricación de insumos textiles                                                                                                                                                                         ,2,0,2,
24 San Luis Potosí,001 Ahualulco,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,3,4,7,
24 San Luis Potosí,001 Ahualulco,323    Impresión e industrias conexas                                                                                                                                                                          ,1,0,1,
24 San Luis Potosí,001 Ahualulco,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,4,0,4,
24 San Luis Potosí,001 Ahualulco,332    Fabricación de productos metálicos                                                                                                                                                                      ,3,0,3,
24 San Luis Potosí,001 Ahualulco,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,2,0,2,
08 Chihuahua,001 Ahumada,311    Industria alimentaria                                                                                                                                                                                   ,17,10,27,
08 Chihuahua,001 Ahumada,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,27,0,27,
08 Chihuahua,001 Ahumada,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,8,0,8,
08 Chihuahua,001 Ahumada,332    Fabricación de productos metálicos                                                                                                                                                                      ,7,0,7,
08 Chihuahua,001 Ahumada,334    Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios e                                                                                             ,180,411,591,
08 Chihuahua,001 Ahumada,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,6,0,6,
17 Morelos,001 Amacuzac,311    Industria alimentaria                                                                                                                                                                                   ,28,26,54,
17 Morelos,001 Amacuzac,315    Fabricación de prendas de vestir                                                                                                                                                                        ,5,5,10,
17 Morelos,001 Amacuzac,321    Industria de la madera                                                                                                                                                                                  ,37,6,43,
17 Morelos,001 Amacuzac,323    Impresión e industrias conexas                                                                                                                                                                          ,1,0,1,
17 Morelos,001 Amacuzac,332    Fabricación de productos metálicos                                                                                                                                                                      ,11,1,12,
17 Morelos,001 Amacuzac,339    Otras industrias manufactureras                                                                                                                                                                         ,3,3,6,
29 Tlaxcala,001 Amaxac de Guerrero,311    Industria alimentaria                                                                                                                                                                                   ,13,17,30,
29 Tlaxcala,001 Amaxac de Guerrero,313    Fabricación de insumos textiles                                                                                                                                                                         ,1,0,1,
29 Tlaxcala,001 Amaxac de Guerrero,315    Fabricación de prendas de vestir                                                                                                                                                                        ,1,3,4,
29 Tlaxcala,001 Amaxac de Guerrero,321    Industria de la madera                                                                                                                                                                                  ,2,0,2,
29 Tlaxcala,001 Amaxac de Guerrero,323    Impresión e industrias conexas                                                                                                                                                                          ,2,1,3,
29 Tlaxcala,001 Amaxac de Guerrero,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,28,7,35,
29 Tlaxcala,001 Amaxac de Guerrero,331    Industrias metálicas básicas                                                                                                                                                                            ,1,0,1,
29 Tlaxcala,001 Amaxac de Guerrero,332    Fabricación de productos metálicos                                                                                                                                                                      ,18,1,19,
29 Tlaxcala,001 Amaxac de Guerrero,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,15,0,15,
