Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 2009. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 04:44:53 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
24 San luis potosí,001 Ahualulco,314    Fabricación de productos textiles excepto prendas de vestir ,15,13,2,
24 San luis potosí,001 Ahualulco,315    Fabricación de prendas de vestir ,11,3,8,
24 San luis potosí,001 Ahualulco,321    Industria de la madera ,3,2,1,
24 San luis potosí,001 Ahualulco,323    Impresión e industrias conexas ,3,2,1,
24 San luis potosí,001 Ahualulco,332    Fabricación de productos metálicos ,18,16,2,
24 San luis potosí,001 Ahualulco,337    Fabricación de muebles colchones y persianas ,15,13,2,
24 San luis potosí,001 Ahualulco,339    Otras industrias manufactureras ,6,6,0,
08 Chihuahua,001 Ahumada,311    Industria alimentaria ,41,20,21,
08 Chihuahua,001 Ahumada,312    Industria de las bebidas y del tabaco ,4,4,0,
08 Chihuahua,001 Ahumada,315    Fabricación de prendas de vestir ,2,1,1,
08 Chihuahua,001 Ahumada,321    Industria de la madera ,4,4,0,
08 Chihuahua,001 Ahumada,323    Impresión e industrias conexas ,3,2,1,
08 Chihuahua,001 Ahumada,332    Fabricación de productos metálicos ,9,9,0,
08 Chihuahua,001 Ahumada,334    Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios electrónicos ,261,83,178,
08 Chihuahua,001 Ahumada,337    Fabricación de muebles colchones y persianas ,5,5,0,
17 Morelos,001 Amacuzac,311    Industria alimentaria ,56,38,18,
17 Morelos,001 Amacuzac,312    Industria de las bebidas y del tabaco ,7,7,0,
17 Morelos,001 Amacuzac,315    Fabricación de prendas de vestir ,6,2,4,
17 Morelos,001 Amacuzac,321    Industria de la madera ,19,17,2,
17 Morelos,001 Amacuzac,323    Impresión e industrias conexas ,1,1,0,
17 Morelos,001 Amacuzac,332    Fabricación de productos metálicos ,16,16,0,
17 Morelos,001 Amacuzac,337    Fabricación de muebles colchones y persianas ,5,5,0,
29 Tlaxcala,001 Amaxac de guerrero,311    Industria alimentaria ,45,16,29,
29 Tlaxcala,001 Amaxac de guerrero,312    Industria de las bebidas y del tabaco ,4,4,0,
29 Tlaxcala,001 Amaxac de guerrero,314    Fabricación de productos textiles excepto prendas de vestir ,1,1,0,
29 Tlaxcala,001 Amaxac de guerrero,315    Fabricación de prendas de vestir ,23,6,17,
29 Tlaxcala,001 Amaxac de guerrero,321    Industria de la madera ,3,3,0,
