Instituto Nacional de Estadística y Geografía,,,,,,,
INEGI. Censos Económicos 2004. Resultados definitivos,,,,,,,
Fecha de consulta: 25/08/2021 03:43:30 p. m.,,,,,,,
,,,,,,,
Entidad,Municipio,Actividad Económica,UE UNIDADES ECONÓMICAS,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
16 Michoacán de Ocampo,001 Acuitzio,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,      * ,1,0,1,
16 Michoacán de Ocampo,001 Acuitzio,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,8,0,8,
16 Michoacán de Ocampo,001 Acuitzio,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,      * ,2,2,0,
16 Michoacán de Ocampo,001 Acuitzio,321    Industria de la madera                                                                                                                                                                                  ,      * ,25,24,1,
16 Michoacán de Ocampo,001 Acuitzio,323    Impresión e industrias conexas                                                                                                                                                                          ,      * ,4,3,1,
16 Michoacán de Ocampo,001 Acuitzio,325    Industria química                                                                                                                                                                                       ,      * ,9,9,0,
16 Michoacán de Ocampo,001 Acuitzio,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,     14 ,39,38,1,
16 Michoacán de Ocampo,001 Acuitzio,332    Fabricación de productos metálicos                                                                                                                                                                      ,     10 ,28,19,9,
16 Michoacán de Ocampo,001 Acuitzio,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,     12 ,28,24,4,
01 Aguascalientes,001 Aguascalientes,311    Industria alimentaria                                                                                                                                                                                   ,    758 ,5501,3851,1650,
01 Aguascalientes,001 Aguascalientes,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,     78 ,2462,2250,212,
01 Aguascalientes,001 Aguascalientes,313    Fabricación de insumos textiles                                                                                                                                                                         ,     27 ,2414,1655,759,
01 Aguascalientes,001 Aguascalientes,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,     79 ,1921,769,1152,
01 Aguascalientes,001 Aguascalientes,315    Fabricación de prendas de vestir                                                                                                                                                                        ,    230 ,9398,3303,6095,
01 Aguascalientes,001 Aguascalientes,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,     25 ,296,222,74,
01 Aguascalientes,001 Aguascalientes,321    Industria de la madera                                                                                                                                                                                  ,    205 ,688,631,57,
01 Aguascalientes,001 Aguascalientes,322    Industria del papel                                                                                                                                                                                     ,     18 ,87,43,44,
01 Aguascalientes,001 Aguascalientes,323    Impresión e industrias conexas                                                                                                                                                                          ,    163 ,945,637,308,
01 Aguascalientes,001 Aguascalientes,324    Fabricación de productos derivados del petróleo y del carbón                                                                                                                                            ,      * ,89,78,11,
01 Aguascalientes,001 Aguascalientes,325    Industria química                                                                                                                                                                                       ,      * ,151,86,65,
