Instituto Nacional de Estadística y Geografía,,,,,,,
INEGI. Censos Económicos 2014. Resultados definitivos,,,,,,,
Fecha de consulta: 26/08/2021 05:04:19 a. m.,,,,,,,
,,,,,,,
Año Censal,Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
2014,02 Baja California,005 Playas de Rosarito,311 Industria alimentaria,417,212,205,
2014,02 Baja California,005 Playas de Rosarito,312 Industria de las bebidas y del tabaco,69,59,10,
2014,02 Baja California,005 Playas de Rosarito,314 Fabricación de productos textiles excepto prendas de vestir,24,8,16,
2014,02 Baja California,005 Playas de Rosarito,315 Fabricación de prendas de vestir,29,9,20,
2014,02 Baja California,005 Playas de Rosarito,31C  Subsectores agrupados por el principio de confidencialidad,3876,2499,1377,
2014,02 Baja California,005 Playas de Rosarito,321 Industria de la madera,58,43,15,
2014,02 Baja California,005 Playas de Rosarito,322 Industria del papel,81,38,43,
2014,02 Baja California,005 Playas de Rosarito,323 Impresión e industrias conexas,26,20,6,
2014,02 Baja California,005 Playas de Rosarito,325 Industria química,41,34,7,
2014,02 Baja California,005 Playas de Rosarito,327 Fabricación de productos a base de minerales no metálicos,195,154,41,
2014,02 Baja California,005 Playas de Rosarito,332 Fabricación de productos metálicos,198,187,11,
2014,02 Baja California,005 Playas de Rosarito,333 Fabricación de maquinaria y equipo,268,238,30,
2014,02 Baja California,005 Playas de Rosarito,337 Fabricación de muebles colchones y persianas,2054,1196,858,
2014,02 Baja California,005 Playas de Rosarito,339 Otras industrias manufactureras,19,13,6,
2014,03 Baja California Sur,001 Comondú,311 Industria alimentaria,1798,1154,644,
2014,03 Baja California Sur,001 Comondú,312 Industria de las bebidas y del tabaco,144,120,24,
2014,03 Baja California Sur,001 Comondú,315 Fabricación de prendas de vestir,11,2,9,
2014,03 Baja California Sur,001 Comondú,31C  Subsectores agrupados por el principio de confidencialidad,148,131,17,
2014,03 Baja California Sur,001 Comondú,321 Industria de la madera,10,10,0,
2014,03 Baja California Sur,001 Comondú,323 Impresión e industrias conexas,21,17,4,
2014,03 Baja California Sur,001 Comondú,327 Fabricación de productos a base de minerales no metálicos,42,39,3,
2014,03 Baja California Sur,001 Comondú,332 Fabricación de productos metálicos,76,71,5,
2014,03 Baja California Sur,001 Comondú,337 Fabricación de muebles colchones y persianas,23,23,0,
2014,03 Baja California Sur,001 Comondú,339 Otras industrias manufactureras,9,4,5,
2014,03 Baja California Sur,002 Mulegé,311 Industria alimentaria,1711,1185,526,
2014,03 Baja California Sur,002 Mulegé,312 Industria de las bebidas y del tabaco,80,62,18,
2014,03 Baja California Sur,002 Mulegé,315 Fabricación de prendas de vestir,10,3,7,
2014,03 Baja California Sur,002 Mulegé,31C  Subsectores agrupados por el principio de confidencialidad,25,21,4,
2014,03 Baja California Sur,002 Mulegé,321 Industria de la madera,16,15,1,
2014,03 Baja California Sur,002 Mulegé,323 Impresión e industrias conexas,18,17,1,
2014,03 Baja California Sur,002 Mulegé,327 Fabricación de productos a base de minerales no metálicos,62,57,5,
2014,03 Baja California Sur,002 Mulegé,332 Fabricación de productos metálicos,67,61,6,
2014,03 Baja California Sur,002 Mulegé,337 Fabricación de muebles colchones y persianas,30,29,1,
2014,03 Baja California Sur,002 Mulegé,339 Otras industrias manufactureras,4,2,2,
2014,03 Baja California Sur,003 La Paz,311 Industria alimentaria,1337,675,662,
2014,03 Baja California Sur,003 La Paz,312 Industria de las bebidas y del tabaco,593,498,95,
2014,03 Baja California Sur,003 La Paz,313 Fabricación de insumos textiles y acabado de textiles,8,0,8,
2014,03 Baja California Sur,003 La Paz,314 Fabricación de productos textiles excepto prendas de vestir,20,13,7,
2014,03 Baja California Sur,003 La Paz,315 Fabricación de prendas de vestir,115,21,94,
2014,03 Baja California Sur,003 La Paz,31C  Subsectores agrupados por el principio de confidencialidad,9,7,2,
2014,03 Baja California Sur,003 La Paz,321 Industria de la madera,135,128,7,
2014,03 Baja California Sur,003 La Paz,322 Industria del papel,20,6,14,
2014,03 Baja California Sur,003 La Paz,323 Impresión e industrias conexas,290,209,81,
2014,03 Baja California Sur,003 La Paz,325 Industria química,25,17,8,
2014,03 Baja California Sur,003 La Paz,326 Industria del plástico y del hule,115,95,20,
2014,03 Baja California Sur,003 La Paz,327 Fabricación de productos a base de minerales no metálicos,500,418,82,
2014,03 Baja California Sur,003 La Paz,332 Fabricación de productos metálicos,505,454,51,
2014,03 Baja California Sur,003 La Paz,336 Fabricación de equipo de transporte,28,22,6,
2014,03 Baja California Sur,003 La Paz,337 Fabricación de muebles colchones y persianas,214,195,19,
2014,03 Baja California Sur,003 La Paz,339 Otras industrias manufactureras,190,139,51,
2014,03 Baja California Sur,008 Los Cabos,311 Industria alimentaria,691,302,389,
2014,03 Baja California Sur,008 Los Cabos,312 Industria de las bebidas y del tabaco,287,200,87,
2014,03 Baja California Sur,008 Los Cabos,314 Fabricación de productos textiles excepto prendas de vestir,26,14,12,
2014,03 Baja California Sur,008 Los Cabos,315 Fabricación de prendas de vestir,54,8,46,
2014,03 Baja California Sur,008 Los Cabos,316 Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos,12,5,7,
2014,03 Baja California Sur,008 Los Cabos,31C  Subsectores agrupados por el principio de confidencialidad,19,17,2,
2014,03 Baja California Sur,008 Los Cabos,321 Industria de la madera,173,156,17,
2014,03 Baja California Sur,008 Los Cabos,322 Industria del papel,19,2,17,
2014,03 Baja California Sur,008 Los Cabos,323 Impresión e industrias conexas,133,99,34,
2014,03 Baja California Sur,008 Los Cabos,325 Industria química,9,4,5,
2014,03 Baja California Sur,008 Los Cabos,327 Fabricación de productos a base de minerales no metálicos,315,280,35,
2014,03 Baja California Sur,008 Los Cabos,332 Fabricación de productos metálicos,368,333,35,
2014,03 Baja California Sur,008 Los Cabos,337 Fabricación de muebles colchones y persianas,290,267,23,
2014,03 Baja California Sur,008 Los Cabos,339 Otras industrias manufactureras,57,38,19,
2014,03 Baja California Sur,009 Loreto,311 Industria alimentaria,80,31,49,
2014,03 Baja California Sur,009 Loreto,312 Industria de las bebidas y del tabaco,33,31,2,
2014,03 Baja California Sur,009 Loreto,315 Fabricación de prendas de vestir,10,1,9,
2014,03 Baja California Sur,009 Loreto,31C  Subsectores agrupados por el principio de confidencialidad,26,22,4,
2014,03 Baja California Sur,009 Loreto,321 Industria de la madera,18,15,3,
2014,03 Baja California Sur,009 Loreto,323 Impresión e industrias conexas,6,5,1,
2014,03 Baja California Sur,009 Loreto,332 Fabricación de productos metálicos,14,14,0,
2014,03 Baja California Sur,009 Loreto,337 Fabricación de muebles colchones y persianas,18,16,2,
2014,04 Campeche,001 Calkiní,311 Industria alimentaria,258,147,111,
2014,04 Campeche,001 Calkiní,312 Industria de las bebidas y del tabaco,43,32,11,
2014,04 Campeche,001 Calkiní,313 Fabricación de insumos textiles y acabado de textiles,441,116,325,
2014,04 Campeche,001 Calkiní,314 Fabricación de productos textiles excepto prendas de vestir,386,22,364,
2014,04 Campeche,001 Calkiní,315 Fabricación de prendas de vestir,1821,983,838,
2014,04 Campeche,001 Calkiní,316 Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos,3,0,3,
2014,04 Campeche,001 Calkiní,321 Industria de la madera,29,26,3,
