Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 2009. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 04:43:00 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
12 Guerrero,001 Acapulco de juárez,61     Servicios educativos ,4266,1542,2724,
12 Guerrero,001 Acapulco de juárez,62     Servicios de salud y de asistencia social ,4319,1972,2347,
12 Guerrero,001 Acapulco de juárez,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,1925,1226,699,
12 Guerrero,001 Acapulco de juárez,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,29817,14435,15382,
12 Guerrero,001 Acapulco de juárez,81     Otros servicios excepto actividades gubernamentales ,9085,6389,2696,
14 Jalisco,001 Acatic,11     Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales) ,16,16,0,
14 Jalisco,001 Acatic,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,6,5,1,
14 Jalisco,001 Acatic,31  - 33 industrias manufactureras ,1033,635,398,
14 Jalisco,001 Acatic,43     Comercio al por mayor ,38,25,13,
14 Jalisco,001 Acatic,46     Comercio al por menor ,714,258,456,
14 Jalisco,001 Acatic,51     Información en medios masivos ,4,0,4,
14 Jalisco,001 Acatic,52     Servicios financieros y de seguros ,5,1,4,
14 Jalisco,001 Acatic,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,2,1,1,
14 Jalisco,001 Acatic,54     Servicios profesionales científicos y técnicos ,17,7,10,
14 Jalisco,001 Acatic,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,18,6,12,
14 Jalisco,001 Acatic,61     Servicios educativos ,9,0,9,
14 Jalisco,001 Acatic,62     Servicios de salud y de asistencia social ,27,7,20,
14 Jalisco,001 Acatic,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,65,61,4,
14 Jalisco,001 Acatic,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,101,42,59,
14 Jalisco,001 Acatic,81     Otros servicios excepto actividades gubernamentales ,157,113,44,
13 Hidalgo,001 Acatlán,11     Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales) ,31,26,5,
13 Hidalgo,001 Acatlán,21     Minería ,15,14,1,
13 Hidalgo,001 Acatlán,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,3,3,0,
13 Hidalgo,001 Acatlán,31  - 33 industrias manufactureras ,120,94,26,
13 Hidalgo,001 Acatlán,43     Comercio al por mayor ,8,7,1,
13 Hidalgo,001 Acatlán,46     Comercio al por menor ,287,95,192,
13 Hidalgo,001 Acatlán,51     Información en medios masivos ,3,0,3,
13 Hidalgo,001 Acatlán,52     Servicios financieros y de seguros ,2,1,1,
13 Hidalgo,001 Acatlán,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,1,1,0,
13 Hidalgo,001 Acatlán,54     Servicios profesionales científicos y técnicos ,20,9,11,
13 Hidalgo,001 Acatlán,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,14,10,4,
13 Hidalgo,001 Acatlán,62     Servicios de salud y de asistencia social ,17,9,8,
13 Hidalgo,001 Acatlán,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,2,2,0,
13 Hidalgo,001 Acatlán,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,48,16,32,
13 Hidalgo,001 Acatlán,81     Otros servicios excepto actividades gubernamentales ,33,11,22,
26 Sonora,001 Aconchi,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,8,7,1,
26 Sonora,001 Aconchi,31  - 33 industrias manufactureras ,94,85,9,
26 Sonora,001 Aconchi,43     Comercio al por mayor ,13,7,6,
26 Sonora,001 Aconchi,46     Comercio al por menor ,94,44,50,
26 Sonora,001 Aconchi,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,3,1,2,
26 Sonora,001 Aconchi,62     Servicios de salud y de asistencia social ,7,3,4,
26 Sonora,001 Aconchi,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,2,1,1,
26 Sonora,001 Aconchi,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,12,3,9,
26 Sonora,001 Aconchi,81     Otros servicios excepto actividades gubernamentales ,10,7,3,
16 Michoacán de ocampo,001 Acuitzio,11     Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales) ,5,5,0,
16 Michoacán de ocampo,001 Acuitzio,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,6,4,2,
16 Michoacán de ocampo,001 Acuitzio,31  - 33 industrias manufactureras ,210,142,68,
16 Michoacán de ocampo,001 Acuitzio,43     Comercio al por mayor ,34,24,10,
16 Michoacán de ocampo,001 Acuitzio,46     Comercio al por menor ,397,153,244,
16 Michoacán de ocampo,001 Acuitzio,51     Información en medios masivos ,2,0,2,
16 Michoacán de ocampo,001 Acuitzio,52     Servicios financieros y de seguros ,10,4,6,
16 Michoacán de ocampo,001 Acuitzio,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,11,8,3,
16 Michoacán de ocampo,001 Acuitzio,54     Servicios profesionales científicos y técnicos ,11,5,6,
16 Michoacán de ocampo,001 Acuitzio,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,11,6,5,
16 Michoacán de ocampo,001 Acuitzio,61     Servicios educativos ,32,11,21,
16 Michoacán de ocampo,001 Acuitzio,62     Servicios de salud y de asistencia social ,29,19,10,
16 Michoacán de ocampo,001 Acuitzio,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,48,46,2,
16 Michoacán de ocampo,001 Acuitzio,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,83,35,48,
16 Michoacán de ocampo,001 Acuitzio,81     Otros servicios excepto actividades gubernamentales ,90,73,17,
01 Aguascalientes,001 Aguascalientes,11     Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales) ,35,30,5,
01 Aguascalientes,001 Aguascalientes,21     Minería ,320,299,21,
01 Aguascalientes,001 Aguascalientes,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,1948,1538,410,
01 Aguascalientes,001 Aguascalientes,23     Construcción ,9967,8916,1051,
01 Aguascalientes,001 Aguascalientes,31  - 33 industrias manufactureras ,47174,32777,14397,
01 Aguascalientes,001 Aguascalientes,43     Comercio al por mayor ,10343,7534,2809,
01 Aguascalientes,001 Aguascalientes,46     Comercio al por menor ,45877,24287,21590,
01 Aguascalientes,001 Aguascalientes,48  - 49 transportes correos y almacenamiento ,4886,4401,485,
01 Aguascalientes,001 Aguascalientes,51     Información en medios masivos ,2618,1669,949,
01 Aguascalientes,001 Aguascalientes,52     Servicios financieros y de seguros ,1247,548,699,
01 Aguascalientes,001 Aguascalientes,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,2873,1779,1094,
01 Aguascalientes,001 Aguascalientes,54     Servicios profesionales científicos y técnicos ,5755,3184,2571,
01 Aguascalientes,001 Aguascalientes,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,12579,8458,4121,
01 Aguascalientes,001 Aguascalientes,61     Servicios educativos ,7261,2846,4415,
01 Aguascalientes,001 Aguascalientes,62     Servicios de salud y de asistencia social ,7054,2581,4473,
01 Aguascalientes,001 Aguascalientes,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,2009,1327,682,
01 Aguascalientes,001 Aguascalientes,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,16233,7242,8991,
01 Aguascalientes,001 Aguascalientes,81     Otros servicios excepto actividades gubernamentales ,12273,8601,3672,
25 Sinaloa,001 Ahome,11     Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales) ,4692,4541,151,
25 Sinaloa,001 Ahome,21     Minería ,4,4,0,
25 Sinaloa,001 Ahome,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,554,478,76,
25 Sinaloa,001 Ahome,23     Construcción ,4382,4018,364,
25 Sinaloa,001 Ahome,31  - 33 industrias manufactureras ,12671,7662,5009,
25 Sinaloa,001 Ahome,43     Comercio al por mayor ,6010,4465,1545,
25 Sinaloa,001 Ahome,46     Comercio al por menor ,20036,9649,10387,
25 Sinaloa,001 Ahome,48  - 49 transportes correos y almacenamiento ,5189,4511,678,
25 Sinaloa,001 Ahome,51     Información en medios masivos ,1935,1302,633,
25 Sinaloa,001 Ahome,52     Servicios financieros y de seguros ,539,275,264,
25 Sinaloa,001 Ahome,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,973,603,370,
25 Sinaloa,001 Ahome,54     Servicios profesionales científicos y técnicos ,1680,964,716,
25 Sinaloa,001 Ahome,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,2656,1999,657,
25 Sinaloa,001 Ahome,61     Servicios educativos ,2312,853,1459,
25 Sinaloa,001 Ahome,62     Servicios de salud y de asistencia social ,2422,986,1436,
25 Sinaloa,001 Ahome,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,982,688,294,
25 Sinaloa,001 Ahome,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,6358,3015,3343,
25 Sinaloa,001 Ahome,81     Otros servicios excepto actividades gubernamentales ,5459,3831,1628,
